Date, Open, High, Low, Close, Volume
09/15/21, 148.56, 149.44, 146.37, 149.03, 83281320
09/14/21, 150.35, 151.07, 146.91, 148.12, 109296305
09/13/21, 150.63, 151.42, 148.75, 149.55, 102404305
09/10/21, 155.00, 155.48, 148.70, 148.97, 140893203
09/09/21, 155.49, 156.11, 153.95, 154.07, 57305727
09/08/21, 156.98, 157.04, 153.975, 155.11, 74420211
09/07/21, 154.97, 157.26, 154.39, 156.69, 82278258
09/03/21, 153.76, 154.63, 153.09, 154.30, 57866070
09/02/21, 153.87, 154.72, 152.40, 153.65, 71171320
09/01/21, 152.83, 154.98, 152.34, 152.51, 80313711
08/31/21, 152.66, 152.80, 151.29, 151.83, 86453117
08/30/21, 149.00, 153.49, 148.61, 153.12, 90956719
08/27/21, 147.48, 148.75, 146.83, 148.60, 55802391
08/26/21, 148.35, 149.12, 147.51, 147.54, 48597199
08/25/21, 149.81, 150.32, 147.80, 148.36, 58991301
08/24/21, 149.45, 150.86, 149.15, 149.62, 48606434
08/23/21, 148.31, 150.19, 147.89, 149.71, 60131809
08/20/21, 147.44, 148.50, 146.78, 148.19, 60549633
08/19/21, 145.03, 148.00, 144.50, 146.70, 86960312
08/18/21, 149.80, 150.72, 146.15, 146.36, 86325992
08/17/21, 150.23, 151.68, 149.09, 150.19, 92229742
08/16/21, 148.535, 151.19, 146.47, 151.12, 103558797
08/13/21, 148.97, 149.4444, 148.27, 149.10, 59375008
08/12/21, 146.19, 149.05, 145.84, 148.89, 73779109
08/11/21, 146.05, 146.72, 145.53, 145.86, 48493461
08/10/21, 146.44, 147.71, 145.30, 145.60, 69023078
08/09/21, 146.20, 146.70, 145.52, 146.09, 48908688
08/06/21, 146.35, 147.11, 145.63, 146.14, 54126809
08/05/21, 146.98, 147.84, 146.17, 147.06, 46397672
08/04/21, 147.27, 147.79, 146.28, 146.95, 56368273
08/03/21, 145.81, 148.045, 145.18, 147.36, 64786621
08/02/21, 146.36, 146.95, 145.25, 145.52, 62879961
07/30/21, 144.38, 146.33, 144.11, 145.86, 70440633
07/29/21, 144.685, 146.55, 144.58, 145.64, 56699480
07/28/21, 144.81, 146.97, 142.54, 144.98, 118931203
07/27/21, 149.12, 149.21, 145.55, 146.77, 104818602
07/26/21, 148.27, 149.83, 147.70, 148.99, 72434086
07/23/21, 147.55, 148.7177, 146.92, 148.56, 71447422
07/22/21, 145.935, 148.195, 145.81, 146.80, 77338156
07/21/21, 145.53, 146.13, 144.63, 145.40, 74993453
07/20/21, 143.46, 147.0997, 142.96, 146.15, 96350039
07/19/21, 143.75, 144.07, 141.67, 142.45, 121434602
07/16/21, 148.46, 149.76, 145.88, 146.39, 93251430
07/15/21, 149.24, 150.00, 147.09, 148.48, 106820305
07/14/21, 148.10, 149.57, 147.68, 149.15, 127050797
07/13/21, 144.03, 147.46, 143.63, 145.64, 100827102
07/12/21, 146.21, 146.32, 144.00, 144.50, 76299719
07/09/21, 142.75, 145.65, 142.6522, 145.11, 99890797
07/08/21, 141.58, 144.06, 140.665, 143.24, 105575508
07/07/21, 143.535, 144.89, 142.66, 144.57, 104911602
07/06/21, 140.07, 143.15, 140.07, 142.02, 108181797
07/02/21, 137.90, 140.00, 137.745, 139.96, 78945570
07/01/21, 136.60, 137.33, 135.76, 137.27, 52485781
06/30/21, 136.17, 137.41, 135.87, 136.96, 63261391
06/29/21, 134.80, 136.49, 134.35, 136.33, 64556078
06/28/21, 133.41, 135.245, 133.35, 134.78, 62111301
06/25/21, 133.46, 133.89, 132.81, 133.11, 70783750
06/24/21, 134.45, 134.64, 132.93, 133.41, 68711000
06/23/21, 133.77, 134.32, 133.23, 133.70, 60214199
06/22/21, 132.13, 134.08, 131.62, 133.98, 74783617
06/21/21, 130.30, 132.41, 129.21, 132.30, 79663320
06/18/21, 130.71, 131.51, 130.24, 130.46, 108953297
06/17/21, 129.80, 132.55, 129.65, 131.79, 96721672
06/16/21, 130.37, 130.89, 128.461, 130.15, 91815031
06/15/21, 129.94, 130.60, 129.39, 129.64, 62746328
06/14/21, 127.82, 130.54, 127.07, 130.48, 96906484
06/11/21, 126.53, 127.44, 126.10, 127.35, 53522367
06/10/21, 127.02, 128.19, 125.94, 126.11, 71186414
06/09/21, 127.21, 127.75, 126.52, 127.13, 56877941
06/08/21, 126.60, 128.46, 126.2101, 126.74, 74403766
06/07/21, 126.17, 126.32, 124.8321, 125.90, 71057555
06/04/21, 124.07, 126.16, 123.85, 125.89, 75169344
06/03/21, 124.68, 124.85, 123.13, 123.54, 76229172
06/02/21, 124.28, 125.24, 124.05, 125.06, 59278859
06/01/21, 125.08, 125.35, 123.94, 124.28, 67637117
05/28/21, 125.57, 125.80, 124.55, 124.61, 71311109
05/27/21, 126.44, 127.64, 125.08, 125.28, 94625602
05/26/21, 126.955, 127.39, 126.42, 126.85, 56575922
05/25/21, 127.82, 128.32, 126.32, 126.90, 72009477
05/24/21, 126.01, 127.94, 125.94, 127.10, 63092953
05/21/21, 127.82, 128.00, 125.21, 125.43, 79295438
05/20/21, 125.23, 127.72, 125.10, 127.31, 76857117
05/19/21, 123.16, 124.915, 122.86, 124.69, 92611992
05/18/21, 126.56, 126.99, 124.78, 124.85, 63342930
05/17/21, 126.82, 126.93, 125.17, 126.27, 74116555
05/14/21, 126.25, 127.89, 125.85, 127.45, 81917953
05/13/21, 124.58, 126.15, 124.26, 124.97, 105861297
05/12/21, 123.40, 124.64, 122.25, 122.77, 112172305
05/11/21, 123.50, 126.27, 122.77, 125.91, 126142797
05/10/21, 129.41, 129.54, 126.81, 126.85, 88071234
05/07/21, 130.85, 131.2582, 129.475, 130.21, 78973273
05/06/21, 127.89, 129.75, 127.13, 129.74, 78128328
05/05/21, 129.20, 130.45, 127.97, 128.10, 84000898
05/04/21, 131.19, 131.4899, 126.70, 127.85, 137564703
05/03/21, 132.04, 134.07, 131.83, 132.54, 75135102
04/30/21, 131.78, 133.56, 131.065, 131.46, 109839508
04/29/21, 136.47, 137.07, 132.45, 133.48, 151100984
04/28/21, 134.31, 135.02, 133.08, 133.58, 107760094
04/27/21, 135.01, 135.41, 134.11, 134.39, 66015797
04/26/21, 134.83, 135.06, 133.56, 134.72, 66905070
04/23/21, 132.16, 135.12, 132.16, 134.32, 78756781
04/22/21, 133.04, 134.15, 131.41, 131.94, 84566461
04/21/21, 132.36, 133.75, 131.3001, 133.50, 68847133
04/20/21, 135.02, 135.53, 131.81, 133.11, 94812352
04/19/21, 133.51, 135.47, 133.34, 134.84, 94264227
04/16/21, 134.30, 134.67, 133.28, 134.16, 84922391
04/15/21, 133.82, 135.00, 133.64, 134.50, 89347102
04/14/21, 134.94, 135.00, 131.655, 132.03, 87222781
04/13/21, 132.44, 134.66, 131.93, 134.43, 91266555
04/12/21, 132.52, 132.85, 130.63, 131.24, 91419984
04/09/21, 129.80, 133.04, 129.47, 132.995, 106686703
04/08/21, 128.95, 130.39, 128.52, 130.36, 88844594
04/07/21, 125.83, 127.92, 125.14, 127.90, 83466719
